prov_name,2017,2018,increase_percent,prov_code
新疆维吾尔自治区,10881.96,12809.39,1.1771215847145184,65
宁夏回族自治区,3443.56,3510.21,1.019354969856776,64
青海省,2624.83,2748.0,1.0469249437106405,63
甘肃省,7459.9,8104.07,1.0863510234721645,62
陕西省,21898.81,23941.88,1.0932959370851658,61
西藏自治区,1310.92,1548.39,1.1811475910047906,54
贵州省,13540.83,15353.21,1.1338455619042551,52
四川省,36980.2,42902.1,1.1601370463112692,51
海南省,4462.54,4910.69,1.10042487014122,46
广西壮族自治区,18523.26,19627.81,1.0596304322241334,45
广东省,89705.23,99945.22,1.114151538321679,44
湖南省,33902.96,36329.68,1.0715784108526218,43
湖北省,35478.09,42021.95,1.184447922647471,42
河南省,44552.83,49935.9,1.1208244234990234,41
山东省,72634.15,66648.87,0.917596887965234,37
江西省,20006.31,22716.51,1.1354672600794449,36
福建省,32182.09,38687.77,1.2021521908614388,35
安徽省,27018.0,34010.91,1.2588241172551633,34
浙江省,51768.26,58002.84,1.1204324812153237,33
江苏省,85869.76,93207.55,1.0854525504671262,32
黑龙江省,15902.68,12846.48,0.8078185563691151,23
吉林省,15288.9,15074.62,0.985984603208864,22
内蒙古自治区,16096.21,16140.76,1.002767732279835,15
辽宁省,23409.24,23510.54,1.0043273510801718,21
山西省,15528.42,15958.13,1.0276724869626144,14
河北省,34016.32,32494.61,0.9552652961872421,13
云南省,16376.34,20880.63,1.2750486372412884,53
重庆市,19500.27,20363.19,1.044251694976531,50
